      Step     Time          Energy          fmax
BFGS:   11 15:10:34    -1313.047069        0.016071
BFGS:   12 15:10:34    -1313.047107        0.013846
BFGS:   13 15:10:34    -1313.047129        0.010287
BFGS:   14 15:10:34    -1313.047137        0.005327
BFGS:   15 15:10:34    -1313.047141        0.002567
BFGS:   16 15:10:34    -1313.047144        0.003690
BFGS:   17 15:10:34    -1313.047148        0.004823
BFGS:   18 15:10:34    -1313.047149        0.003941
BFGS:   19 15:10:34    -1313.047151        0.001905
BFGS:   20 15:10:34    -1313.047151        0.001591
BFGS:   21 15:10:34    -1313.047152        0.001753
BFGS:   22 15:10:34    -1313.047152        0.002095
BFGS:   23 15:10:34    -1313.047153        0.001764
BFGS:   24 15:10:34    -1313.047153        0.000908
      Step     Time          Energy          fmax
BFGS:    0 15:10:35    -1313.310093        0.007447
BFGS:    1 15:10:35    -1313.310105        0.005311
BFGS:    2 15:10:35    -1313.310152        0.009003
BFGS:    3 15:10:35    -1313.310157        0.007188
BFGS:    4 15:10:35    -1313.310168        0.003104
BFGS:    5 15:10:35    -1313.310171        0.003446
BFGS:    6 15:10:35    -1313.310179        0.007257
BFGS:    7 15:10:35    -1313.310187        0.008552
BFGS:    8 15:10:35    -1313.310196        0.008106
BFGS:    9 15:10:35    -1313.310204        0.007013
BFGS:   10 15:10:35    -1313.310209        0.004724
BFGS:   11 15:10:35    -1313.310211        0.004077
BFGS:   12 15:10:35    -1313.310213        0.003859
BFGS:   13 15:10:35    -1313.310215        0.004312
BFGS:   14 15:10:35    -1313.310217        0.002689
BFGS:   15 15:10:35    -1313.310217        0.002122
BFGS:   16 15:10:35    -1313.310218        0.002584
BFGS:   17 15:10:35    -1313.310219        0.003642
BFGS:   18 15:10:35    -1313.310220        0.003231
BFGS:   19 15:10:35    -1313.310220        0.001968
BFGS:   20 15:10:35    -1313.310221        0.001285
BFGS:   21 15:10:35    -1313.310221        0.002413
BFGS:   22 15:10:35    -1313.310222        0.002651
BFGS:   23 15:10:35    -1313.310222        0.001751
BFGS:   24 15:10:35    -1313.310222        0.000931
      Step     Time          Energy          fmax
BFGS:    0 15:10:35     -160.268318        0.005836
BFGS:    1 15:10:35     -160.268322        0.005409
BFGS:    2 15:10:35     -160.268338        0.003816
BFGS:    3 15:10:35     -160.268339        0.003812
BFGS:    4 15:10:35     -160.268348        0.003737
BFGS:    5 15:10:35     -160.268349        0.003387
BFGS:    6 15:10:35     -160.268353        0.003285
BFGS:    7 15:10:35     -160.268357        0.003989
BFGS:    8 15:10:35     -160.268362        0.004966
BFGS:    9 15:10:35     -160.268365        0.004570
BFGS:   10 15:10:35     -160.268367        0.003438
BFGS:   11 15:10:35     -160.268369        0.004191
BFGS:   12 15:10:35     -160.268372        0.004627
BFGS:   13 15:10:35     -160.268376        0.003269
BFGS:   14 15:10:35     -160.268378        0.002138
BFGS:   15 15:10:35     -160.268378        0.001404
BFGS:   16 15:10:35     -160.268378        0.000915
      Step     Time          Energy          fmax
BFGS:    0 15:10:35      -20.434526        0.000000
      Step     Time          Energy          fmax
BFGS:    0 15:10:35     -159.436094        0.009966
BFGS:    1 15:10:35     -159.436102        0.009721
BFGS:    2 15:10:35     -159.436270        0.013490
BFGS:    3 15:10:35     -159.436281        0.013173
BFGS:    4 15:10:35     -159.436387        0.007064
BFGS:    5 15:10:35     -159.436398        0.007400
