      Step     Time          Energy          fmax
FIRE:   54 15:07:40    -1313.039956        0.042385
FIRE:   55 15:07:40    -1313.040458        0.035383
FIRE:   56 15:07:40    -1313.040992        0.032588
FIRE:   57 15:07:40    -1313.041521        0.029167
FIRE:   58 15:07:40    -1313.042018        0.026829
FIRE:   59 15:07:40    -1313.042508        0.022139
FIRE:   60 15:07:40    -1313.042957        0.015780
FIRE:   61 15:07:40    -1313.043334        0.014457
FIRE:   62 15:07:40    -1313.043633        0.016882
FIRE:   63 15:07:40    -1313.043899        0.020827
FIRE:   64 15:07:40    -1313.044222        0.023472
FIRE:   65 15:07:40    -1313.044665        0.022763
FIRE:   66 15:07:40    -1313.045224        0.016449
FIRE:   67 15:07:40    -1313.045834        0.017144
FIRE:   68 15:07:40    -1313.046393        0.009945
      Step     Time          Energy          fmax
FIRE:    0 15:07:40    -1301.371325       35.869977
FIRE:    1 15:07:40    -1306.782624       11.113104
FIRE:    2 15:07:40    -1308.191736       12.293037
FIRE:    3 15:07:40    -1309.425315       13.221894
FIRE:    4 15:07:40    -1310.836025        7.955307
FIRE:    5 15:07:40    -1311.642448        3.811599
FIRE:    6 15:07:40    -1311.936685        3.939018
FIRE:    7 15:07:40    -1312.051185        3.594289
FIRE:    8 15:07:40    -1312.246979        3.007097
FIRE:    9 15:07:40    -1312.473250        2.270821
FIRE:   10 15:07:40    -1312.679324        1.710670
FIRE:   11 15:07:40    -1312.828836        1.195379
FIRE:   12 15:07:40    -1312.909256        1.039781
FIRE:   13 15:07:40    -1312.937036        1.701024
FIRE:   14 15:07:40    -1312.940534        1.675049
FIRE:   15 15:07:40    -1312.947356        1.623676
FIRE:   16 15:07:40    -1312.957169        1.548066
FIRE:   17 15:07:40    -1312.969507        1.449959
FIRE:   18 15:07:40    -1312.983808        1.331648
FIRE:   19 15:07:40    -1312.999456        1.195966
FIRE:   20 15:07:40    -1313.015839        1.046284
FIRE:   21 15:07:40    -1313.034128        0.869108
FIRE:   22 15:07:40    -1313.053801        0.665627
FIRE:   23 15:07:40    -1313.074196        0.441045
FIRE:   24 15:07:40    -1313.094713        0.324154
FIRE:   25 15:07:40    -1313.115133        0.470873
FIRE:   26 15:07:40    -1313.135861        0.595883
